epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,13564.3,0.87951,0.64744,1.17031,0.79974,0.72319,0.76692,0.41155,1.56403,1.2497,1.80874,0.000550056,0.000550056,0.000550056
155,13655,0.90546,0.65513,1.18356,0.7556,0.73174,0.74083,0.3955,1.6209,1.33147,1.86483,0.00054639,0.00054639,0.00054639
156,13746.3,0.90656,0.6548,1.19052,0.77819,0.74071,0.73655,0.38433,1.65856,1.33399,1.87749,0.000542723,0.000542723,0.000542723
157,13838.5,0.89148,0.66405,1.18063,0.75697,0.75313,0.74897,0.38427,1.69034,1.27279,1.90126,0.000539057,0.000539057,0.000539057
158,13929.4,0.85502,0.66226,1.17261,0.7551,0.77019,0.75615,0.40227,1.60048,1.21643,1.83642,0.000535391,0.000535391,0.000535391
159,14019.9,0.84618,0.63042,1.15414,0.79862,0.75412,0.76418,0.4204,1.62663,1.30852,1.83943,0.000531725,0.000531725,0.000531725
160,14110.5,0.88847,0.63708,1.18755,0.77349,0.80071,0.76581,0.42294,1.58497,1.18566,1.88483,0.000528058,0.000528058,0.000528058
161,14201.6,0.87522,0.64385,1.16482,0.77893,0.75283,0.756,0.40803,1.65177,1.22443,1.9075,0.000524392,0.000524392,0.000524392
162,14292.4,0.88454,0.65355,1.1837,0.79524,0.7082,0.7472,0.39342,1.66431,1.23515,1.88613,0.000520726,0.000520726,0.000520726
163,14383.9,0.87279,0.63234,1.17887,0.81174,0.71706,0.76161,0.42983,1.65844,1.25028,1.89442,0.000517059,0.000517059,0.000517059
164,14475,0.87345,0.66182,1.18176,0.7921,0.72211,0.76513,0.41373,1.62616,1.33024,1.89437,0.000513393,0.000513393,0.000513393
165,14566.6,0.8508,0.61614,1.1636,0.80664,0.72259,0.76208,0.41274,1.63436,1.34443,1.88853,0.000509727,0.000509727,0.000509727
166,14657.4,0.86126,0.64768,1.18576,0.7801,0.74671,0.77815,0.4281,1.62582,1.25235,1.91232,0.00050606,0.00050606,0.00050606
167,14746.9,0.83942,0.62335,1.15658,0.77872,0.74763,0.77551,0.42069,1.61086,1.28308,1.91297,0.000502394,0.000502394,0.000502394
168,14837.6,0.85003,0.62275,1.17261,0.85893,0.70614,0.78427,0.42598,1.63813,1.32367,1.89959,0.000498728,0.000498728,0.000498728
169,14928.3,0.8603,0.62257,1.16919,0.77191,0.74695,0.75082,0.41361,1.63641,1.28794,1.93468,0.000495062,0.000495062,0.000495062
